Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000237634.jpg,0.679144,0.03033,30.4,5,0
000000330587.jpg,0.2735,0.03472,33.9,2,1
000000287837.jpg,0.405771,0.04204,27.0,13,1
000000294748.jpg,0.461606,0.02946,31.1,1,0
000000149569.jpg,0.773013,0.02928,31.8,2,0
000000158847.jpg,0.676505,0.03539,32.2,4,1
000000364978.jpg,0.825948,0.02799,28.6,1,0
000000304987.jpg,0.532669,0.03315,36.8,6,0
000000405422.jpg,0.507804,0.03208,30.0,4,0
000000066740.jpg,0.290201,0.03006,31.9,1,0
000000518045.jpg,0.0,0.03182,37.0,0,0
000000518045.jpg,0.0,0.03182,37.0,0,0
000000518045.jpg,0.0,0.03182,37.0,0,0
000000518045.jpg,0.0,0.03182,37.0,0,0
000000011835.jpg,0.0,0.03182,37.0,0,0
000000011835.jpg,0.0,0.03182,37.0,0,0
000000011835.jpg,0.0,0.03182,37.0,0,0
000000011835.jpg,0.0,0.03182,37.0,0,0
000000513964.jpg,0.0,0.03182,27.1,0,0
000000513964.jpg,0.0,0.03182,27.1,0,0
000000513964.jpg,0.0,0.03182,27.1,0,0
000000513964.jpg,0.0,0.03182,27.1,0,0
000000081088.jpg,0.0,0.03182,30.0,0,0
000000081088.jpg,0.0,0.03182,30.0,0,0
000000081088.jpg,0.0,0.03182,30.0,0,0
000000081088.jpg,0.0,0.03182,30.0,0,0
000000117992.jpg,0.496109,0.03009,22.0,3,0
000000495301.jpg,0.592707,0.03035,25.6,5,0
000000208307.jpg,0.281839,0.03039,36.5,2,0
000000488025.jpg,0.613949,0.03122,31.2,6,0
000000298968.jpg,0.82118,0.03205,30.6,1,0
000000212729.jpg,0.628792,0.03035,34.8,8,0
000000104076.jpg,0.558706,0.02974,37.3,21,0
000000214357.jpg,0.583338,0.03228,31.4,7,0
000000324038.jpg,0.590904,0.02543,22.9,3,0
000000469674.jpg,0.674613,0.03008,31.1,6,0
000000559913.jpg,0.561617,0.03097,32.0,6,0
000000519119.jpg,0.491097,0.03013,29.2,17,0
000000030320.jpg,0.535102,0.03272,36.8,5,0
000000281256.jpg,0.593482,0.02658,22.9,3,0
000000102760.jpg,0.3766,0.02973,40.4,1,0
000000541494.jpg,0.487931,0.0283,26.8,6,0
000000515443.jpg,0.877531,0.02948,29.8,4,0
000000549611.jpg,0.596997,0.03061,30.4,3,0
000000578443.jpg,0.412903,0.03107,37.7,6,0
000000550343.jpg,0.539646,0.03264,30.8,5,0
000000300935.jpg,0.51662,0.03201,35.8,12,0
000000505756.jpg,0.576079,0.0328,32.1,9,0
000000081347.jpg,0.360277,0.03215,30.0,2,0
000000121127.jpg,0.57534,0.02997,31.1,4,0
000000198749.jpg,0.788313,0.02953,27.3,3,0
000000440150.jpg,0.47878,0.03133,24.4,17,0
000000561236.jpg,0.482232,0.02951,31.8,2,0
000000263129.jpg,0.72091,0.02859,30.2,2,0
000000509249.jpg,0.627918,0.03131,33.3,11,0
000000237461.jpg,0.578514,0.02932,23.1,2,0
000000302805.jpg,0.462255,0.02852,43.1,3,0
000000092208.jpg,0.504451,0.03138,26.7,7,0
000000388003.jpg,0.498448,0.03336,15.9,3,0
000000125409.jpg,0.0,0.03218,20.0,0,0
000000125409.jpg,0.0,0.03218,20.0,0,0
000000125409.jpg,0.0,0.03218,20.0,0,0
000000125409.jpg,0.0,0.03218,20.0,0,0
000000125409.jpg,0.0,0.03218,20.0,0,0
000000402274.jpg,0.0,0.03218,31.4,0,0
000000402274.jpg,0.0,0.03218,31.4,0,0
000000402274.jpg,0.0,0.03218,31.4,0,0
000000402274.jpg,0.0,0.03218,31.4,0,0
000000402274.jpg,0.0,0.03218,31.4,0,0
000000413721.jpg,0.0,0.03218,10.3,0,0
000000413721.jpg,0.0,0.03218,10.3,0,0
000000413721.jpg,0.0,0.03218,10.3,0,0
000000413721.jpg,0.0,0.03218,10.3,0,0
000000413721.jpg,0.0,0.03218,10.3,0,0
000000000106.jpg,0.0,0.03218,30.2,0,0
000000000106.jpg,0.0,0.03218,30.2,0,0
000000000106.jpg,0.0,0.03218,30.2,0,0
000000000106.jpg,0.0,0.03218,30.2,0,0
000000000106.jpg,0.0,0.03218,30.2,0,0
000000059159.jpg,0.0,0.03218,28.0,0,0
000000059159.jpg,0.0,0.03218,28.0,0,0
000000059159.jpg,0.0,0.03218,28.0,0,0
000000059159.jpg,0.0,0.03218,28.0,0,0
000000059159.jpg,0.0,0.03218,28.0,0,0
000000041538.jpg,0.308349,0.03141,29.8,2,0
