Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000315684.jpg,0.6234,0.0643,44.8,2,0
000000177484.jpg,0.363296,0.05971,37.2,3,0
000000353708.jpg,0.912267,0.05683,40.0,1,0
000000562976.jpg,0.559868,0.06078,30.7,4,0
000000222937.jpg,0.931151,0.06505,37.7,1,0
000000264841.jpg,0.502351,0.06775,30.6,7,0
000000076391.jpg,0.563274,0.06228,38.4,11,0
000000318480.jpg,0.596689,0.0646,35.0,4,0
000000441329.jpg,0.64937,0.06304,37.3,5,0
000000458512.jpg,0.642138,0.05906,40.4,10,0
000000078776.jpg,0.469007,0.06077,44.9,4,0
000000531231.jpg,0.562392,0.05755,37.1,1,0
000000099016.jpg,0.426428,0.06351,42.2,21,0
000000273343.jpg,0.641132,0.06632,45.8,3,0
000000030606.jpg,0.492849,0.05081,42.9,8,0
000000397614.jpg,0.619202,0.06347,34.7,9,0
000000003486.jpg,0.610142,0.04663,46.3,4,0
000000108790.jpg,0.653981,0.06072,38.8,3,0
000000428022.jpg,0.520776,0.07981,48.3,5,1
000000466141.jpg,0.465961,0.10491,62.5,26,1
000000227275.jpg,0.437161,0.05976,27.5,6,0
000000098625.jpg,0.856596,0.06232,39.0,3,0
000000499647.jpg,0.595724,0.0619,37.0,7,0
000000073990.jpg,0.613218,0.09807,70.9,8,1
000000343617.jpg,0.713056,0.06375,50.9,3,0
000000153470.jpg,0.726413,0.06787,44.1,3,0
000000380324.jpg,0.587897,0.07531,38.9,4,1
000000163915.jpg,0.696686,0.07162,44.7,3,1
000000162186.jpg,0.627742,0.06953,42.6,3,1
000000501351.jpg,0.385794,0.07117,36.7,2,1
000000382851.jpg,0.5078,0.068,38.5,7,0
000000335782.jpg,0.57313,0.05005,40.2,2,0
000000074985.jpg,0.415383,0.06133,36.5,8,0
000000417401.jpg,0.591985,0.07046,42.1,3,1
000000350474.jpg,0.798152,0.07006,40.4,4,1
000000550531.jpg,0.770497,0.06488,37.6,3,0
000000086028.jpg,0.504462,0.0607,40.8,6,0
000000128934.jpg,0.861038,0.07045,34.3,3,1
000000460936.jpg,0.674634,0.06419,37.4,7,0
000000234583.jpg,0.485762,0.06352,36.7,7,0
000000375555.jpg,0.529378,0.06292,38.6,7,0
000000252258.jpg,0.924259,0.05954,38.1,2,0
000000221201.jpg,0.738803,0.06554,39.0,12,0
000000526938.jpg,0.52232,0.07357,34.9,20,1
000000080083.jpg,0.559438,0.07326,41.6,5,1
000000305566.jpg,0.444414,0.05646,35.3,1,0
000000268186.jpg,0.449232,0.06723,40.7,7,0
000000301354.jpg,0.875126,0.06507,42.3,2,0
000000410026.jpg,0.391662,0.06647,38.9,3,0
000000240886.jpg,0.565385,0.06272,37.6,2,0
000000051190.jpg,0.395839,0.05855,41.0,7,0
000000339205.jpg,0.546618,0.05684,43.0,4,0
000000110847.jpg,0.598054,0.06742,43.1,18,0
000000023340.jpg,0.429213,0.08634,41.6,2,1
000000397386.jpg,0.934666,0.07035,37.7,1,1
000000020559.jpg,0.921103,0.06868,37.5,4,0
000000277476.jpg,0.37256,0.06125,36.2,6,0
000000579363.jpg,0.565706,0.05538,39.1,2,0
000000476759.jpg,0.537187,0.0628,38.7,9,0
000000300521.jpg,0.565673,0.05742,34.5,5,0
000000132602.jpg,0.547252,0.06379,40.4,14,0
000000467666.jpg,0.899549,0.05814,37.0,1,0
000000252268.jpg,0.721041,0.06541,32.0,6,0
000000247417.jpg,0.723541,0.05955,33.0,4,0
000000324457.jpg,0.433272,0.05893,36.2,10,0
000000477504.jpg,0.375913,0.06107,40.2,6,0
000000437649.jpg,0.612841,0.07744,41.7,3,1
000000384279.jpg,0.372337,0.05817,41.2,3,0
